mnemonic,operands,width_bits,element_type,latency_cycles,throughput_cycles,category,extension,source_file,mode_64bit,encoding
VPADDW,"zmm,zmm",512,int16,0.0156,0.2673,arith_add,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMAXSB,"zmm,zmm",512,int8,0.0006,0.2728,arith_minmax,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMAXSW,"zmm,zmm",512,int16,0.0003,0.2692,arith_minmax,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMAXUB,"zmm,zmm",512,int8,0.0006,0.2697,arith_minmax,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMAXUW,"zmm,zmm",512,int16,0.0006,0.2687,arith_minmax,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMINSB,"zmm,zmm",512,int8,0.0006,0.2695,arith_minmax,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMINSW,"zmm,zmm",512,int16,0.0003,0.2689,arith_minmax,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMINUB,"zmm,zmm",512,int8,0.0006,0.2694,arith_minmax,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMINUW,"zmm,zmm",512,int16,0.0006,0.2691,arith_minmax,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPAVGB,"zmm,zmm",512,int8,0.9831,0.2769,arith_misc,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPAVGW,"zmm,zmm",512,int16,1.1709,0.2744,arith_misc,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSADBW,"zmm,zmm",512,int16,1.4688,0.4903,arith_misc,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMADDUBSW,"zmm,zmm",512,int16,1.4656,0.4925,arith_mul,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMADDWD,"zmm,zmm",512,NA,1.4675,0.4869,arith_mul,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMULHUW,"zmm,zmm",512,int16,0.0166,0.4911,arith_mul,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMULHW,"zmm,zmm",512,int16,1.4844,0.8686,arith_mul,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMULLW,"zmm,zmm",512,int16,0.0456,0.5398,arith_mul,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPADDSB,"zmm,zmm",512,int8,0.0309,0.4858,arith_sat,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPADDSW,"zmm,zmm",512,int16,0.0306,0.4858,arith_sat,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPADDUSB,"zmm,zmm",512,int8,0.0309,0.4858,arith_sat,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPADDUSW,"zmm,zmm",512,int16,0.0306,0.4858,arith_sat,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
